data,unidades,preco_medio,receita,dia_semana,mes,semana_ano,dia_mes,trimestre,is_fim_semana,mes_sin,mes_cos,dow_sin,dow_cos,is_feriado_comercial,lag_1d,lag_7d,lag_14d,lag_21d,lag_28d,lag_35d,roll_mean_7d,roll_std_7d,roll_max_7d,roll_min_7d,roll_mean_14d,roll_std_14d,roll_max_14d,roll_min_14d,roll_mean_28d,roll_std_28d,roll_max_28d,roll_min_28d,diff_1d,diff_7d,diff_28d,trend_idx,roll_receita_7d,roll_receita_28d,cat_Beleza,cat_Casa & Jardim,cat_Eletrônicos,cat_Esportes,cat_Moda
2022-01-01,236,97.27,22955.72,5,1,52,1,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,,,,,,,,,,,,,,,,,,,,,,0,,,True,False,False,False,False
2022-01-02,185,96.92,17930.2,6,1,52,2,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,236.0,,,,,,,,,,,,,,,,,,,,,1,,,True,False,False,False,False
2022-01-03,138,88.54,12218.52,0,1,1,3,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,185.0,,,,,,,,,,,,,,,,,,-51.0,,,2,,,True,False,False,False,False
2022-01-04,122,91.35,11144.7,1,1,1,4,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,138.0,,,,,,,,,,,,,,,,,,-47.0,,,3,,,True,False,False,False,False
2022-01-05,132,93.25,12309.0,2,1,1,5,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,122.0,,,,,,,,,,,,,,,,,,-16.0,,,4,,,True,False,False,False,False
2022-01-06,146,100.09,14613.14,3,1,1,6,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,132.0,,,,,,,,,,,,,,,,,,10.0,,,5,,,True,False,False,False,False
2022-01-07,174,98.2,17086.8,4,1,1,7,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,146.0,,,,,,,,,,,,,,,,,,14.0,,,6,,,True,False,False,False,False
2022-01-08,351,91.58,32144.58,5,1,1,8,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,174.0,236.0,,,,,161.85714285714286,39.75101076882017,236.0,122.0,,,,,,,,,28.0,,,7,15465.44,,True,False,False,False,False
2022-01-09,311,97.11,30201.21,6,1,1,9,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,351.0,185.0,,,,,178.28571428571428,79.44539903966391,351.0,122.0,,,,,,,,,177.0,115.0,,8,16778.134285714284,,True,False,False,False,False
2022-01-10,222,101.55,22544.1,0,1,2,10,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,311.0,138.0,,,,,196.28571428571428,94.1359199698576,351.0,122.0,,,,,,,,,-40.0,126.0,,9,18531.135714285716,,True,False,False,False,False
2022-01-11,213,87.77,18695.01,1,1,2,11,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,222.0,122.0,,,,,208.28571428571428,90.76106780206716,351.0,122.0,,,,,,,,,-89.0,84.0,,10,20006.21857142857,,True,False,False,False,False
2022-01-12,288,100.11,28831.68,2,1,2,12,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,213.0,132.0,,,,,221.28571428571428,82.4817440118606,351.0,132.0,,,,,,,,,-9.0,91.0,,11,21084.834285714285,,True,False,False,False,False
2022-01-13,293,102.21,29947.53,3,1,2,13,1,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0,288.0,146.0,,,,,243.57142857142858,75.07964025588022,351.0,146.0,,,,,,,,,75.0,156.0,,12,23445.217142857142,,True,False,False,False,False
2022-01-14,314,97.24,30533.36,4,1,2,14,1,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0,293.0,174.0,,,,,264.57142857142856,62.7929325716867,351.0,174.0,,,,,,,,,5.0,147.0,,13,25635.844285714284,,True,False,False,False,False
2022-01-15,385,89.35,34399.75,5,1,2,15,1,1,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,314.0,351.0,236.0,,,,284.57142857142856,50.162592778740304,351.0,213.0,223.21428571428572,77.10350542906951,351.0,122.0,,,,,21.0,140.0,,14,27556.78142857143,,True,False,False,False,False
2022-01-16,328,88.01,28867.28,6,1,2,16,1,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,385.0,311.0,185.0,,,,289.42857142857144,58.60277906623312,385.0,213.0,233.85714285714286,88.45238366389103,385.0,122.0,,,,,71.0,34.0,,15,27878.948571428573,,True,False,False,False,False
2022-01-17,275,92.91,25550.25,0,1,3,17,1,0,0.49999999999999994,0.8660254037844387,0.0,1.0,0,328.0,222.0,138.0,,,,291.85714285714283,59.98174325417311,385.0,213.0,244.07142857142858,90.60689758572407,385.0,122.0,,,,,-57.0,17.0,,16,27688.38714285714,,True,False,False,False,False
2022-01-18,256,94.38,24161.28,1,1,3,18,1,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0,275.0,213.0,122.0,,,,299.42857142857144,52.58281450200627,385.0,213.0,253.85714285714286,85.5253962668014,385.0,122.0,,,,,-53.0,53.0,,17,28117.83714285714,,True,False,False,False,False
2022-01-19,282,88.24,24883.68,2,1,3,19,1,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0,256.0,288.0,132.0,,,,305.57142857142856,42.31176803545009,385.0,256.0,263.42857142857144,76.67384900263662,385.0,132.0,,,,,-19.0,43.0,,18,28898.73285714286,,True,False,False,False,False
